Index	Label	Type	Name	ID	Integral [QL]	Area [pixel]	Bkg [QL]	Integral-Bkg [QL]	Integral/Area [QL/mm²]	Integral/Area-Bkg [QL/mm²]	Median [QL]	Median-Bkg [QL]	Normalized [%]	Normalized-Bkg [%]	Average [QL]	Average-Bkg [QL]	Average [%]	Average-Bkg [%]	Deviation [QL]	Deviation [%]	Deviation-Bkg [QL]	Deviation-Bkg [%]	Homogeneity [%]	Quality
123	1-6,13			33H16	145805.0	208	12584.0	133221.0	7009855.8	6404855.8	232.0	171.5	--	--	--	--	--	--	--	--	--	--	19.4	
124	1-6,14			105E3	42966.0	208	16536.0	26430.0	2065673.1	1270673.1	130.5	51.0	--	--	--	--	--	--	--	--	--	--	20.6	
125	1-6,15			108P19	80500.0	208	16952.0	63548.0	3870192.3	3055192.3	164.5	83.0	--	--	--	--	--	--	--	--	--	--	22.8	
126	1-6,16			99K10	85461.0	208	19864.0	65597.0	4108701.9	3153701.9	154.0	58.5	--	--	--	--	--	--	--	--	--	--	47.9	
127	1-6,17			116C17	25867.0	208	15184.0	10683.0	1243605.8	513605.8	111.0	38.0	--	--	--	--	--	--	--	--	--	--	28.4	
128	1-6,18			112O8	38008.0	208	18096.0	19912.0	1827307.7	957307.7	141.5	54.5	--	--	--	--	--	--	--	--	--	--	32.6	
129	1-6,19			177J19	51906.0	208	11856.0	40050.0	2495480.8	1925480.8	121.5	64.5	--	--	--	--	--	--	--	--	--	--	65.0	
130	1-6,20			114E14	41196.0	208	14664.0	26532.0	1980576.9	1275576.9	134.5	64.0	--	--	--	--	--	--	--	--	--	--	61.6	
131	1-6,21			124L24	25326.0	208	18720.0	6606.0	1217596.2	317596.2	96.5	6.5	--	--	--	--	--	--	--	--	--	--	96.5	
132	1-6,22			169H9	206280.0	208	21944.0	184336.0	9917307.7	8862307.7	794.5	689.0	--	--	--	--	--	--	--	--	--	--	58.3	sd.
133	1-7,1			83G2	279731.0	208	17680.0	262051.0	13448605.8	12598605.8	463.0	378.0	--	--	--	--	--	--	--	--	--	--	32.2	sd.
134	1-7,2			196P14	44652.0	208	14040.0	30612.0	2146730.8	1471730.8	130.0	62.5	--	--	--	--	--	--	--	--	--	--	33.3	
135	1-7,3			189A13	49106.0	208	11648.0	37458.0	2360865.4	1800865.4	156.5	100.5	--	--	--	--	--	--	--	--	--	--	34.6	
136	1-7,4			110D14	25394.0	208	11128.0	14266.0	1220865.4	685865.4	90.0	36.5	--	--	--	--	--	--	--	--	--	--	3.2	
137	1-7,5			emptywell	25569.0	208	9464.0	16105.0	1229278.8	774278.8	84.0	38.5	--	--	--	--	--	--	--	--	--	--	38.7	
138	1-7,6			190G11	70988.0	208	15808.0	55180.0	3412884.6	2652884.6	103.5	27.5	--	--	--	--	--	--	--	--	--	--	56.1	
139	1-7,7			131C7	79146.0	208	15704.0	63442.0	3805096.2	3050096.2	155.0	79.5	--	--	--	--	--	--	--	--	--	--	43.5	sd.
140	1-7,8			104P12	25282.0	208	17888.0	7394.0	1215480.8	355480.8	87.0	1.0	--	--	--	--	--	--	--	--	--	--	26.6	
141	1-7,9			19H3	229400.0	208	15392.0	214008.0	11028846.2	10288846.2	748.0	674.0	--	--	--	--	--	--	--	--	--	--	33.2	sd.
142	1-7,10			184O13	126992.0	208	11648.0	115344.0	6105384.6	5545384.6	389.5	333.5	--	--	--	--	--	--	--	--	--	--	14.2	
143	1-7,11			126L2	30853.0	208	16016.0	14837.0	1483317.3	713317.3	123.0	46.0	--	--	--	--	--	--	--	--	--	--	57.1	
144	1-7,12			71B1	173710.0	208	17056.0	156654.0	8351442.3	7531442.3	247.0	165.0	--	--	--	--	--	--	--	--	--	--	60.3	sd.
145	1-7,13			33O2	33273.0	208	18512.0	14761.0	1599663.5	709663.5	142.0	53.0	--	--	--	--	--	--	--	--	--	--	19.2	
146	1-7,14			105G24	25122.0	208	20800.0	4322.0	1207788.5	207788.5	104.5	4.5	--	--	--	--	--	--	--	--	--	--	35.1	
147	1-7,15			48A2	447981.0	208	19136.0	428845.0	21537548.1	20617548.1	688.5	596.5	--	--	--	--	--	--	--	--	--	--	21.3	
148	1-7,16			99K16	64941.0	208	18408.0	46533.0	3122163.5	2237163.5	129.5	41.0	--	--	--	--	--	--	--	--	--	--	46.8	
149	1-7,17			116H2	31831.0	208	19136.0	12695.0	1530336.5	610336.5	114.5	22.5	--	--	--	--	--	--	--	--	--	--	70.3	
150	1-7,18			112O14	687323.0	208	18096.0	669227.0	33044375.0	32174375.0	1390.5	1303.5	--	--	--	--	--	--	--	--	--	--	27.4	sd.
151	1-7,19			176L2	1921890.0	208	14040.0	1907850.0	92398557.7	91723557.7	8689.5	8622.0	--	--	--	--	--	--	--	--	--	--	35.9	sd.
152	1-7,20			113C13	20660.0	208	10920.0	9740.0	993269.2	468269.2	79.5	27.0	--	--	--	--	--	--	--	--	--	--	53.0	
153	1-7,21			124P7	35894.0	208	15184.0	20710.0	1725673.1	995673.1	148.0	75.0	--	--	--	--	--	--	--	--	--	--	31.3	
154	1-7,22			169D11	118530.0	208	16016.0	102514.0	5698557.7	4928557.7	333.0	256.0	--	--	--	--	--	--	--	--	--	--	29.4	sd.
155	1-8,1			82H7	69817.0	208	16016.0	53801.0	3356586.5	2586586.5	133.5	56.5	--	--	--	--	--	--	--	--	--	--	18.5	
